REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,West Virginia,2015,40,X,1.02553,X,X,X,X,X,X,184,50,17942
States,West Virginia,2015,41,X,0.978325,X,X,X,X,X,X,181,51,18501
States,West Virginia,2015,42,X,1.31689,X,X,X,X,X,X,237,51,17997
States,West Virginia,2015,43,X,1.07118,X,X,X,X,X,X,197,52,18391
States,West Virginia,2015,44,X,1.41249,X,X,X,X,X,X,266,50,18832
States,West Virginia,2015,45,X,1.44617,X,X,X,X,X,X,277,53,19154
States,West Virginia,2015,46,X,1.01986,X,X,X,X,X,X,189,51,18532
States,West Virginia,2015,47,X,1.24273,X,X,X,X,X,X,173,52,13921
States,West Virginia,2015,48,X,1.30868,X,X,X,X,X,X,235,52,17957
States,West Virginia,2015,49,X,1.27957,X,X,X,X,X,X,231,50,18053
States,West Virginia,2015,50,X,1.78188,X,X,X,X,X,X,324,51,18183
States,West Virginia,2015,51,X,1.52858,X,X,X,X,X,X,207,47,13542
States,West Virginia,2015,52,X,1.65355,X,X,X,X,X,X,250,48,15119
States,West Virginia,2016,1,X,1.24065,X,X,X,X,X,X,219,50,17652
States,West Virginia,2016,2,X,1.21729,X,X,X,X,X,X,207,51,17005
States,West Virginia,2016,3,X,1.32488,X,X,X,X,X,X,165,50,12454
States,West Virginia,2016,4,X,1.47666,X,X,X,X,X,X,229,52,15508
States,West Virginia,2016,5,X,1.13276,X,X,X,X,X,X,157,47,13860
States,West Virginia,2016,6,X,1.81735,X,X,X,X,X,X,278,48,15297
States,West Virginia,2016,7,X,1.74266,X,X,X,X,X,X,279,50,16010
States,West Virginia,2016,8,X,2.69257,X,X,X,X,X,X,438,47,16267
States,West Virginia,2016,9,X,2.71718,X,X,X,X,X,X,487,50,17923
States,West Virginia,2016,10,X,3.104,X,X,X,X,X,X,582,48,18750
States,West Virginia,2016,11,X,2.38769,X,X,X,X,X,X,422,46,17674
States,West Virginia,2016,12,X,2.28422,X,X,X,X,X,X,393,49,17205
States,West Virginia,2016,13,X,2.69803,X,X,X,X,X,X,437,46,16197
States,West Virginia,2016,14,X,2.26966,X,X,X,X,X,X,403,47,17756
States,West Virginia,2016,15,X,2.45104,X,X,X,X,X,X,433,48,17666
States,West Virginia,2016,16,X,2.43372,X,X,X,X,X,X,403,43,16559
States,West Virginia,2016,17,X,2.47711,X,X,X,X,X,X,395,42,15946
States,West Virginia,2016,18,X,1.32095,X,X,X,X,X,X,219,45,16579
States,West Virginia,2016,19,X,1.23154,X,X,X,X,X,X,196,42,15915
States,West Virginia,2016,20,X,1.16541,X,X,X,X,X,X,176,41,15102
States,West Virginia,2016,21,X,1.34412,X,X,X,X,X,X,186,32,13838
States,West Virginia,2016,22,X,0.975107,X,X,X,X,X,X,123,35,12614
States,West Virginia,2016,23,X,0.577954,X,X,X,X,X,X,83,37,14361
States,West Virginia,2016,24,X,0.65882,X,X,X,X,X,X,89,35,13509
States,West Virginia,2016,25,X,0.454908,X,X,X,X,X,X,57,33,12530
States,West Virginia,2016,26,X,0.524052,X,X,X,X,X,X,67,34,12785
States,West Virginia,2016,27,X,0.522784,X,X,X,X,X,X,67,35,12816
States,West Virginia,2016,28,X,0.358852,X,X,X,X,X,X,48,34,13376
States,West Virginia,2016,29,X,0.406012,X,X,X,X,X,X,57,36,14039
States,West Virginia,2016,30,X,0.474236,X,X,X,X,X,X,67,35,14128
States,West Virginia,2016,31,X,0.611143,X,X,X,X,X,X,86,34,14072
States,West Virginia,2016,32,X,0.434605,X,X,X,X,X,X,64,34,14726
States,West Virginia,2016,33,X,0.523706,X,X,X,X,X,X,75,33,14321
States,West Virginia,2016,34,X,0.941645,X,X,X,X,X,X,142,34,15080
States,West Virginia,2016,35,X,1.23722,X,X,X,X,X,X,167,31,13498
States,West Virginia,2016,36,X,0.857609,X,X,X,X,X,X,121,34,14109
States,West Virginia,2016,37,X,1.1296,X,X,X,X,X,X,167,31,14784
States,West Virginia,2016,38,X,1.04214,X,X,X,X,X,X,159,33,15257
States,West Virginia,2016,39,X,0.865301,X,X,X,X,X,X,120,32,13868
States,West Virginia,2016,40,X,1.15475,X,X,X,X,X,X,177,47,15328
States,West Virginia,2016,41,X,1.21442,X,X,X,X,X,X,218,50,17951
States,West Virginia,2016,42,X,0.49896,X,X,X,X,X,X,168,49,33670
States,West Virginia,2016,43,X,0.558143,X,X,X,X,X,X,169,47,30279
States,West Virginia,2016,44,X,0.696323,X,X,X,X,X,X,175,48,25132
States,West Virginia,2016,45,X,0.696646,X,X,X,X,X,X,178,50,25551
States,West Virginia,2016,46,X,0.997899,X,X,X,X,X,X,152,46,15232
States,West Virginia,2016,47,X,1.12828,X,X,X,X,X,X,119,47,10547
States,West Virginia,2016,48,X,0.952956,X,X,X,X,X,X,142,44,14901
States,West Virginia,2016,49,X,1.19682,X,X,X,X,X,X,173,46,14455
States,West Virginia,2016,50,X,1.32006,X,X,X,X,X,X,175,43,13257
States,West Virginia,2016,51,X,1.49617,X,X,X,X,X,X,246,45,16442
States,West Virginia,2016,52,X,2.44053,X,X,X,X,X,X,476,45,19504
States,West Virginia,2017,1,X,1.79407,X,X,X,X,X,X,368,44,20512
States,West Virginia,2017,2,X,1.78158,X,X,X,X,X,X,392,44,22003
States,West Virginia,2017,3,X,2.64722,X,X,X,X,X,X,619,44,23383
States,West Virginia,2017,4,X,2.56329,X,X,X,X,X,X,564,43,22003
States,West Virginia,2017,5,X,2.89023,X,X,X,X,X,X,574,44,19860
States,West Virginia,2017,6,X,2.86889,X,X,X,X,X,X,628,45,21890
States,West Virginia,2017,7,X,3.61845,X,X,X,X,X,X,841,47,23242
States,West Virginia,2017,8,X,3.53901,X,X,X,X,X,X,850,46,24018
States,West Virginia,2017,9,X,3.37181,X,X,X,X,X,X,815,46,24171
States,West Virginia,2017,10,X,3.13655,X,X,X,X,X,X,798,45,25442
States,West Virginia,2017,11,X,3.32656,X,X,X,X,X,X,769,44,23117
States,West Virginia,2017,12,X,2.95147,X,X,X,X,X,X,683,43,23141
States,West Virginia,2017,13,X,2.73346,X,X,X,X,X,X,574,40,20999
States,West Virginia,2017,14,X,1.44829,X,X,X,X,X,X,318,43,21957
States,West Virginia,2017,15,X,0.962907,X,X,X,X,X,X,203,42,21082
States,West Virginia,2017,16,X,0.663663,X,X,X,X,X,X,137,42,20643
States,West Virginia,2017,17,X,0.396825,X,X,X,X,X,X,80,38,20160
States,West Virginia,2017,18,X,0.392473,X,X,X,X,X,X,78,37,19874
States,West Virginia,2017,19,X,0.309695,X,X,X,X,X,X,59,38,19051
States,West Virginia,2017,20,X,0.235899,X,X,X,X,X,X,45,37,19076
States,West Virginia,2017,21,X,0.292143,X,X,X,X,X,X,47,36,16088
States,West Virginia,2017,22,X,0.359178,X,X,X,X,X,X,29,33,8074
States,West Virginia,2017,23,X,0.154151,X,X,X,X,X,X,14,31,9082
States,West Virginia,2017,24,X,0.179684,X,X,X,X,X,X,15,30,8348
States,West Virginia,2017,25,X,0.223214,X,X,X,X,X,X,19,31,8512
States,West Virginia,2017,26,X,0.193143,X,X,X,X,X,X,16,30,8284
States,West Virginia,2017,27,X,0.127259,X,X,X,X,X,X,10,31,7858
States,West Virginia,2017,28,X,0.239671,X,X,X,X,X,X,21,28,8762
States,West Virginia,2017,29,X,0.0903036,X,X,X,X,X,X,8,26,8859
States,West Virginia,2017,30,X,0.0245881,X,X,X,X,X,X,2,26,8134
States,West Virginia,2017,31,X,0.0366703,X,X,X,X,X,X,3,24,8181
States,West Virginia,2017,32,X,0.0947269,X,X,X,X,X,X,9,27,9501
States,West Virginia,2017,33,X,0.0637105,X,X,X,X,X,X,5,22,7848
States,West Virginia,2017,34,X,0.071736,X,X,X,X,X,X,6,22,8364
States,West Virginia,2017,35,X,0.231737,X,X,X,X,X,X,21,23,9062
States,West Virginia,2017,36,X,0.364109,X,X,X,X,X,X,28,22,7690
States,West Virginia,2017,37,X,0.383498,X,X,X,X,X,X,33,23,8605
States,West Virginia,2017,38,X,0.526039,X,X,X,X,X,X,40,17,7604
States,West Virginia,2017,39,X,0.481471,X,X,X,X,X,X,33,17,6854
States,West Virginia,2017,40,X,0.945554,X,X,X,X,X,X,124,32,13114
States,West Virginia,2017,41,X,0.876033,X,X,X,X,X,X,106,30,12100
States,West Virginia,2017,42,X,0.693255,X,X,X,X,X,X,85,32,12261
