"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,West Virginia,2015,40,327,0,0,0,0,0
States,West Virginia,2015,41,373,0,3,0.8,0,0.8
States,West Virginia,2015,42,409,1,8,2.2,0.24,1.96
States,West Virginia,2015,43,418,0,1,0.24,0,0.24
States,West Virginia,2015,44,488,0,5,1.02,0,1.02
States,West Virginia,2015,45,442,0,0,0,0,0
States,West Virginia,2015,46,457,1,3,0.88,0.22,0.66
States,West Virginia,2015,47,382,1,1,0.52,0.26,0.26
States,West Virginia,2015,48,419,0,0,0,0,0
States,West Virginia,2015,49,431,0,1,0.23,0,0.23
States,West Virginia,2015,50,422,1,1,0.47,0.24,0.24
States,West Virginia,2015,51,413,0,5,1.21,0,1.21
States,West Virginia,2015,52,553,1,2,0.54,0.18,0.36
States,West Virginia,2016,1,517,0,1,0.19,0,0.19
States,West Virginia,2016,2,458,2,2,0.87,0.44,0.44
States,West Virginia,2016,3,313,2,0,0.64,0.64,0
States,West Virginia,2016,4,405,2,3,1.23,0.49,0.74
States,West Virginia,2016,5,361,1,1,0.55,0.28,0.28
States,West Virginia,2016,6,419,1,1,0.48,0.24,0.24
States,West Virginia,2016,7,395,4,3,1.77,1.01,0.76
States,West Virginia,2016,8,484,24,8,6.61,4.96,1.65
States,West Virginia,2016,9,507,16,7,4.54,3.16,1.38
States,West Virginia,2016,10,589,56,26,13.92,9.51,4.41
States,West Virginia,2016,11,689,58,32,13.06,8.42,4.64
States,West Virginia,2016,12,593,49,49,16.53,8.26,8.26
States,West Virginia,2016,13,486,37,48,17.49,7.61,9.88
States,West Virginia,2016,14,594,26,52,13.13,4.38,8.75
States,West Virginia,2016,15,551,30,56,15.61,5.44,10.16
States,West Virginia,2016,16,570,51,74,21.93,8.95,12.98
States,West Virginia,2016,17,526,13,57,13.31,2.47,10.84
States,West Virginia,2016,18,350,3,20,6.57,0.86,5.71
States,West Virginia,2016,19,396,5,31,9.09,1.26,7.83
States,West Virginia,2016,20,339,2,13,4.42,0.59,3.83
States,West Virginia,2016,21,311,12,9,6.75,3.86,2.89
States,West Virginia,2016,22,284,4,8,4.23,1.41,2.82
States,West Virginia,2016,23,234,0,2,0.85,0,0.85
States,West Virginia,2016,24,215,0,1,0.47,0,0.47
States,West Virginia,2016,25,226,0,1,0.44,0,0.44
States,West Virginia,2016,26,156,0,0,0,0,0
States,West Virginia,2016,27,158,0,3,1.9,0,1.9
States,West Virginia,2016,28,167,0,1,0.6,0,0.6
States,West Virginia,2016,29,185,0,0,0,0,0
States,West Virginia,2016,30,162,0,0,0,0,0
States,West Virginia,2016,31,159,0,0,0,0,0
States,West Virginia,2016,32,167,0,0,0,0,0
States,West Virginia,2016,33,147,0,0,0,0,0
States,West Virginia,2016,34,185,1,0,0.54,0.54,0
States,West Virginia,2016,35,198,0,0,0,0,0
States,West Virginia,2016,36,265,0,0,0,0,0
States,West Virginia,2016,37,186,0,0,0,0,0
States,West Virginia,2016,38,226,1,0,0.44,0.44,0
States,West Virginia,2016,39,238,1,0,0.42,0.42,0
States,West Virginia,2016,40,333,0,2,0.6,0,0.6
States,West Virginia,2016,41,332,0,0,0,0,0
States,West Virginia,2016,42,363,0,0,0,0,0
States,West Virginia,2016,43,386,0,1,0.26,0,0.26
States,West Virginia,2016,44,409,0,1,0.24,0,0.24
States,West Virginia,2016,45,433,0,0,0,0,0
States,West Virginia,2016,46,427,2,0,0.47,0.47,0
States,West Virginia,2016,47,413,3,1,0.97,0.73,0.24
States,West Virginia,2016,48,483,5,3,1.66,1.04,0.62
States,West Virginia,2016,49,453,5,2,1.55,1.1,0.44
States,West Virginia,2016,50,503,12,1,2.58,2.39,0.2
States,West Virginia,2016,51,560,31,4,6.25,5.54,0.71
States,West Virginia,2016,52,765,54,10,8.37,7.06,1.31
States,West Virginia,2017,1,764,38,14,6.81,4.97,1.83
States,West Virginia,2017,2,652,30,12,6.44,4.6,1.84
States,West Virginia,2017,3,696,53,19,10.34,7.61,2.73
States,West Virginia,2017,4,563,38,20,10.3,6.75,3.55
States,West Virginia,2017,5,644,33,11,6.83,5.12,1.71
States,West Virginia,2017,6,710,47,38,11.97,6.62,5.35
States,West Virginia,2017,7,822,58,42,12.17,7.06,5.11
States,West Virginia,2017,8,864,76,55,15.16,8.8,6.37
States,West Virginia,2017,9,803,64,42,13.2,7.97,5.23
States,West Virginia,2017,10,701,79,54,18.97,11.27,7.7
States,West Virginia,2017,11,836,83,65,17.7,9.93,7.78
States,West Virginia,2017,12,769,69,62,17.04,8.97,8.06
States,West Virginia,2017,13,742,71,76,19.81,9.57,10.24
States,West Virginia,2017,14,547,23,39,11.33,4.2,7.13
States,West Virginia,2017,15,505,22,14,7.13,4.36,2.77
States,West Virginia,2017,16,411,11,16,6.57,2.68,3.89
States,West Virginia,2017,17,274,8,1,3.28,2.92,0.36
States,West Virginia,2017,18,311,2,0,0.64,0.64,0
States,West Virginia,2017,19,312,4,1,1.6,1.28,0.32
States,West Virginia,2017,20,318,2,2,1.26,0.63,0.63
States,West Virginia,2017,21,249,0,0,0,0,0
States,West Virginia,2017,22,279,0,1,0.36,0,0.36
States,West Virginia,2017,23,305,10,0,3.28,3.28,0
States,West Virginia,2017,24,311,1,2,0.96,0.32,0.64
States,West Virginia,2017,25,261,3,0,1.15,1.15,0
States,West Virginia,2017,26,208,1,0,0.48,0.48,0
States,West Virginia,2017,27,224,0,0,0,0,0
States,West Virginia,2017,28,222,1,1,0.9,0.45,0.45
States,West Virginia,2017,29,185,0,0,0,0,0
States,West Virginia,2017,30,166,0,0,0,0,0
States,West Virginia,2017,31,224,0,0,0,0,0
States,West Virginia,2017,32,214,0,0,0,0,0
States,West Virginia,2017,33,253,0,0,0,0,0
States,West Virginia,2017,34,225,0,0,0,0,0
States,West Virginia,2017,35,277,1,1,0.72,0.36,0.36
States,West Virginia,2017,36,340,0,1,0.29,0,0.29
States,West Virginia,2017,37,372,1,0,0.27,0.27,0
States,West Virginia,2017,38,366,0,0,0,0,0
States,West Virginia,2017,39,338,2,0,0.59,0.59,0
States,West Virginia,2017,40,401,1,0,0.25,0.25,0
States,West Virginia,2017,41,396,4,1,1.26,1.01,0.25
States,West Virginia,2017,42,460,0,0,0,0,0
States,West Virginia,2017,43,428,0,0,0,0,0
States,West Virginia,2017,44,426,1,0,0.23,0.23,0
States,West Virginia,2017,45,391,3,2,1.28,0.77,0.51
States,West Virginia,2017,46,446,13,2,3.36,2.91,0.45
States,West Virginia,2017,47,533,14,5,3.56,2.63,0.94
States,West Virginia,2017,48,533,13,5,3.38,2.44,0.94
States,West Virginia,2017,49,625,27,3,4.8,4.32,0.48
States,West Virginia,2017,50,722,82,6,12.19,11.36,0.83
States,West Virginia,2017,51,1026,189,11,19.49,18.42,1.07
States,West Virginia,2017,52,1456,407,16,29.05,27.95,1.1
States,West Virginia,2018,1,1409,285,21,21.72,20.23,1.49
States,West Virginia,2018,2,1453,378,19,27.32,26.02,1.31
States,West Virginia,2018,3,1275,236,22,20.24,18.51,1.73
States,West Virginia,2018,4,1362,177,25,14.83,13,1.84
States,West Virginia,2018,5,1346,133,29,12.04,9.88,2.15
States,West Virginia,2018,6,1297,97,57,11.87,7.48,4.39
States,West Virginia,2018,7,1264,130,81,16.69,10.28,6.41
States,West Virginia,2018,8,1023,68,58,12.32,6.65,5.67
