"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
States,West Virginia,2010,40,150,0,0,0,0,0,0,0,0
States,West Virginia,2010,41,122,0,0,0,0,0,0,0,0
States,West Virginia,2010,42,169,0,0,0,0,0,0,0,0
States,West Virginia,2010,43,150,0,0,0,0,0,0,0,0
States,West Virginia,2010,44,129,0,0,0,0,0,0,0,0
States,West Virginia,2010,45,171,1.75,3,0,0,0,0,0,0
States,West Virginia,2010,46,176,2.84,3,0,0,2,0,0,0
States,West Virginia,2010,47,147,0,0,0,0,0,0,0,0
States,West Virginia,2010,48,152,1.32,1,0,1,0,0,0,0
States,West Virginia,2010,49,147,2.04,1,0,0,2,0,0,0
States,West Virginia,2010,50,135,5.93,6,0,2,0,0,0,0
States,West Virginia,2010,51,108,0.93,1,0,0,0,0,0,0
States,West Virginia,2010,52,163,14.11,12,0,5,5,0,1,0
States,West Virginia,2011,1,183,20.22,14,0,6,15,0,2,0
States,West Virginia,2011,2,241,19.09,17,0,14,15,0,0,0
States,West Virginia,2011,3,267,21.35,25,0,8,18,0,6,0
States,West Virginia,2011,4,294,26.19,21,0,18,32,0,6,0
States,West Virginia,2011,5,433,22.17,24,0,23,45,0,4,0
States,West Virginia,2011,6,441,28.8,47,0,27,44,0,9,0
States,West Virginia,2011,7,535,27.85,37,0,25,76,0,11,0
States,West Virginia,2011,8,539,16.33,19,0,15,37,0,17,0
States,West Virginia,2011,9,454,21.81,17,0,35,39,0,8,0
States,West Virginia,2011,10,386,15.03,8,0,18,22,0,10,0
States,West Virginia,2011,11,340,9.41,4,0,12,14,0,2,0
States,West Virginia,2011,12,311,6.43,1,0,2,14,0,3,0
States,West Virginia,2011,13,276,10.14,1,0,10,14,0,3,0
States,West Virginia,2011,14,244,3.69,0,0,1,7,0,1,0
States,West Virginia,2011,15,201,3.48,0,0,1,5,0,1,0
States,West Virginia,2011,16,199,0.5,0,0,1,0,0,0,0
States,West Virginia,2011,17,136,0.74,0,0,0,0,0,1,0
States,West Virginia,2011,18,128,0,0,0,0,0,0,0,0
States,West Virginia,2011,19,98,1.02,0,0,0,0,0,1,0
States,West Virginia,2011,20,116,0,0,0,0,0,0,0,0
States,West Virginia,2011,21,91,0,0,0,0,0,0,0,0
States,West Virginia,2011,22,115,0,0,0,0,0,0,0,0
States,West Virginia,2011,23,117,0,0,0,0,0,0,0,0
States,West Virginia,2011,24,121,0,0,0,0,0,0,0,0
States,West Virginia,2011,25,100,0,0,0,0,0,0,0,0
States,West Virginia,2011,26,58,0,0,0,0,0,0,0,0
States,West Virginia,2011,27,68,0,0,0,0,0,0,0,0
States,West Virginia,2011,28,76,0,0,0,0,0,0,0,0
States,West Virginia,2011,29,64,0,0,0,0,0,0,0,0
States,West Virginia,2011,30,66,0,0,0,0,0,0,0,0
States,West Virginia,2011,31,81,0,0,0,0,0,0,0,0
States,West Virginia,2011,32,66,0,0,0,0,0,0,0,0
States,West Virginia,2011,33,54,0,0,0,0,0,0,0,0
States,West Virginia,2011,34,87,0,0,0,0,0,0,0,0
States,West Virginia,2011,35,88,0,0,0,0,0,0,0,0
States,West Virginia,2011,36,133,0,0,0,0,0,0,0,0
States,West Virginia,2011,37,131,0,0,0,0,0,0,0,0
States,West Virginia,2011,38,84,0,0,0,0,0,0,0,0
States,West Virginia,2011,39,156,0,0,0,0,0,0,0,0
States,West Virginia,2011,40,156,0,0,0,0,0,0,0,0
States,West Virginia,2011,41,165,0,0,0,0,0,0,0,0
States,West Virginia,2011,42,164,0,0,0,0,0,0,0,0
States,West Virginia,2011,43,123,0,0,0,0,0,0,0,0
States,West Virginia,2011,44,134,0,0,0,0,0,0,0,0
States,West Virginia,2011,45,162,0,0,0,0,0,0,0,0
States,West Virginia,2011,46,136,0,0,0,0,0,0,0,0
States,West Virginia,2011,47,127,1.57,1,0,1,0,0,0,0
States,West Virginia,2011,48,114,0,0,0,0,0,0,0,0
States,West Virginia,2011,49,160,0.63,0,0,1,0,0,0,0
States,West Virginia,2011,50,169,0,0,0,0,0,0,0,0
States,West Virginia,2011,51,138,0,0,0,0,0,0,0,0
States,West Virginia,2011,52,160,0,0,0,0,0,0,0,0
States,West Virginia,2012,1,214,0,0,0,0,0,0,0,0
States,West Virginia,2012,2,158,0,0,0,0,0,0,0,0
States,West Virginia,2012,3,177,1.13,1,0,1,0,0,0,0
States,West Virginia,2012,4,182,0,0,0,0,0,0,0,0
States,West Virginia,2012,5,165,0.61,1,0,0,0,0,0,0
States,West Virginia,2012,6,173,5.2,2,0,6,1,0,0,0
States,West Virginia,2012,7,198,2.53,1,0,4,0,0,0,0
States,West Virginia,2012,8,159,3.14,0,0,5,0,0,0,0
States,West Virginia,2012,9,175,8.57,0,0,15,0,0,0,0
States,West Virginia,2012,10,193,5.18,0,0,10,0,0,0,0
States,West Virginia,2012,11,160,18.75,1,0,27,2,0,0,0
States,West Virginia,2012,12,151,11.26,1,0,13,2,0,1,0
States,West Virginia,2012,13,157,5.1,0,0,5,2,0,1,0
States,West Virginia,2012,14,133,15.79,0,0,16,5,0,0,0
States,West Virginia,2012,15,154,7.79,0,0,8,3,0,1,0
States,West Virginia,2012,16,212,14.15,0,0,18,11,0,1,0
States,West Virginia,2012,17,122,8.2,1,0,5,4,0,0,0
States,West Virginia,2012,18,133,12.03,0,0,13,3,0,0,0
States,West Virginia,2012,19,112,7.14,1,0,6,1,0,0,0
States,West Virginia,2012,20,95,4.21,0,0,4,0,0,0,0
States,West Virginia,2012,21,119,0.84,0,0,0,1,0,0,0
States,West Virginia,2012,22,100,0,0,0,0,0,0,0,0
States,West Virginia,2012,23,98,0,0,0,0,0,0,0,0
States,West Virginia,2012,24,60,0,0,0,0,0,0,0,0
States,West Virginia,2012,25,75,1.33,0,0,0,1,0,0,0
States,West Virginia,2012,26,68,0,0,0,0,0,0,0,0
States,West Virginia,2012,27,67,0,0,0,0,0,0,0,0
States,West Virginia,2012,28,60,0,0,0,0,0,0,0,0
States,West Virginia,2012,29,57,0,0,0,0,0,0,0,0
States,West Virginia,2012,30,72,0,0,0,0,0,0,0,0
States,West Virginia,2012,31,91,0,0,0,0,0,0,0,0
States,West Virginia,2012,32,101,3.96,0,0,1,0,0,0,3
States,West Virginia,2012,33,82,0,0,0,0,0,0,0,0
States,West Virginia,2012,34,106,0,0,0,0,0,0,0,0
States,West Virginia,2012,35,119,0,0,0,0,0,0,0,0
States,West Virginia,2012,36,98,0,0,0,0,0,0,0,0
States,West Virginia,2012,37,127,0,0,0,0,0,0,0,0
States,West Virginia,2012,38,110,0,0,0,0,0,0,0,0
States,West Virginia,2012,39,110,0,0,0,0,0,0,0,0
States,West Virginia,2012,40,133,0,0,0,0,0,0,0,0
States,West Virginia,2012,41,153,0,0,0,0,0,0,0,0
States,West Virginia,2012,42,151,0,0,0,0,0,0,0,0
States,West Virginia,2012,43,135,0.74,0,0,1,0,0,0,0
States,West Virginia,2012,44,132,0,0,0,0,0,0,0,0
States,West Virginia,2012,45,156,0,0,0,0,0,0,0,0
States,West Virginia,2012,46,134,1.49,0,0,1,0,0,1,0
States,West Virginia,2012,47,165,3.03,0,0,5,0,0,0,0
States,West Virginia,2012,48,178,11.24,1,0,18,0,0,1,0
States,West Virginia,2012,49,247,23.48,0,0,54,0,0,4,0
States,West Virginia,2012,50,372,31.45,0,0,110,0,0,7,0
States,West Virginia,2012,51,505,37.23,0,0,175,0,0,13,0
States,West Virginia,2012,52,668,33.38,0,0,222,0,0,1,0
States,West Virginia,2013,1,731,26.68,1,0,187,0,0,7,0
States,West Virginia,2013,2,858,29.37,0,0,242,0,0,10,0
States,West Virginia,2013,3,827,28.54,0,0,215,0,0,21,0
States,West Virginia,2013,4,675,22.96,0,0,144,0,0,11,0
States,West Virginia,2013,5,560,17.86,1,0,83,0,0,16,0
States,West Virginia,2013,6,432,15.28,1,0,50,0,0,15,0
States,West Virginia,2013,7,403,17.37,1,0,30,0,0,39,0
States,West Virginia,2013,8,354,20.62,3,0,28,0,0,42,0
States,West Virginia,2013,9,446,14.57,4,0,15,0,0,46,0
States,West Virginia,2013,10,519,25.43,3,0,15,0,0,114,0
States,West Virginia,2013,11,517,21.28,4,0,7,0,0,99,0
States,West Virginia,2013,12,414,23.43,2,0,7,0,0,88,0
States,West Virginia,2013,13,399,18.8,3,0,13,0,0,59,0
States,West Virginia,2013,14,219,18.72,1,0,2,0,0,38,0
States,West Virginia,2013,15,275,10.55,2,0,3,0,0,24,0
States,West Virginia,2013,16,194,5.15,1,0,4,0,0,5,0
States,West Virginia,2013,17,179,2.79,0,0,1,0,0,4,0
States,West Virginia,2013,18,156,2.56,0,0,1,0,0,3,0
States,West Virginia,2013,19,142,0,0,0,0,0,0,0,0
States,West Virginia,2013,20,167,0,0,0,0,0,0,0,0
States,West Virginia,2013,21,145,0,0,0,0,0,0,0,0
States,West Virginia,2013,22,117,0,0,0,0,0,0,0,0
States,West Virginia,2013,23,154,0,0,0,0,0,0,0,0
States,West Virginia,2013,24,151,0,0,0,0,0,0,0,0
States,West Virginia,2013,25,108,0,0,0,0,0,0,0,0
States,West Virginia,2013,26,113,0,0,0,0,0,0,0,0
States,West Virginia,2013,27,125,0,0,0,0,0,0,0,0
States,West Virginia,2013,28,97,0,0,0,0,0,0,0,0
States,West Virginia,2013,29,116,6.9,0,0,8,0,0,0,0
States,West Virginia,2013,30,110,3.64,0,0,4,0,0,0,0
States,West Virginia,2013,31,83,0,0,0,0,0,0,0,0
States,West Virginia,2013,32,87,0,0,0,0,0,0,0,0
States,West Virginia,2013,33,81,0,0,0,0,0,0,0,0
States,West Virginia,2013,34,118,0,0,0,0,0,0,0,0
States,West Virginia,2013,35,112,0,0,0,0,0,0,0,0
States,West Virginia,2013,36,175,0,0,0,0,0,0,0,0
States,West Virginia,2013,37,184,0,0,0,0,0,0,0,0
States,West Virginia,2013,38,179,0,0,0,0,0,0,0,0
States,West Virginia,2013,39,184,0.54,0,0,1,0,0,0,0
States,West Virginia,2013,40,205,0,0,0,0,0,0,0,0
States,West Virginia,2013,41,227,0,0,0,0,0,0,0,0
States,West Virginia,2013,42,244,0,0,0,0,0,0,0,0
States,West Virginia,2013,43,257,0,0,0,0,0,0,0,0
States,West Virginia,2013,44,230,0,0,0,0,0,0,0,0
States,West Virginia,2013,45,257,0,0,0,0,0,0,0,0
States,West Virginia,2013,46,288,0.35,1,0,0,0,0,0,0
States,West Virginia,2013,47,231,0,0,0,0,0,0,0,0
States,West Virginia,2013,48,185,1.62,2,0,0,0,0,1,0
